name,district,price,bedroom,wc,acreage,link
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691
HÀNG HIẾM - 4 x 12 - Hẻm xe hơi - 2 Tầng  - Tân Thới Hiệp - Nhỉnh 2 T,"Quận 12, TPHCM",2 tỷ 800 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/hang-hiem-4-x-12-hem-xe-hoi-2-tang-tan-thoi-hiep-nhinh-2-t-id22520905
Nhà trệt lầu ở Nhơn Đức Nhà Bè,"Huyện Nhà Bè, TPHCM",850 triệu,3 PN,1 WC,48 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/nha-tret-lau-o-nhon-duc-nha-be-id22524481
"Chính chủ bán nhà 490/18 Hà Huy Giáp, Quận 12","Quận 12, TPHCM",4 tỷ 300 triệu,2 PN,2 WC,21 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/chinh-chu-ban-nha-490-18-ha-huy-giap-quan-12-id22515012
"Bán nhà hẻm 2534 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè 80m2","Huyện Nhà Bè, TPHCM",7 tỷ 500 triệu,2 PN,2 WC,80 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-2534-huynh-tan-phat-phu-xuan-nha-be-80m2-id22524784
"Bán nhà hẻm 2534 Huỳnh Tấn Phát, Phú Xuân, Nhà Bè - 100m2","Huyện Nhà Bè, TPHCM",7 tỷ,5 PN,5 WC,80 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-2534-huynh-tan-phat-phu-xuan-nha-be-100m2-id22524747
"Bán nhà hẻm 387 Phạm Hữu Lầu, Phước Kiển Nhà Bè - 140m2","Huyện Nhà Bè, TPHCM",2 tỷ 850 triệu,4 PN,5 WC,100 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-387-pham-huu-lau-phuoc-kien-nha-be-140m2-id22524739
Bán nhà vị trí HOT 88m2 - Hẻm xe hơi - Quang Trung - Nhỉnh 5 Tỷ TL,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 600 triệu,5 PN,4 WC,140 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-vi-tri-hot-88m2-hem-xe-hoi-quang-trung-nhinh-5-ty-tl-id22493223
Bán nhà 60m2 - Hẻm ô tô – Trường Thạnh - Quận 9 - Nhỉnh 4 tỷ TL,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 250 triệu,3 PN,2 WC,85 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-60m2-hem-o-to-truong-thanh-quan-9-nhinh-4-ty-tl-id22506161
"Bán nhà mặt tiền Huỳnh tấn Phát, TT Nhà Bè - 132m2","Huyện Nhà Bè, TPHCM",18 tỷ 500 triệu,3 PN,2 WC,60 m2,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/ban-nha-mat-tien-huynh-tan-phat-tt-nha-be-132m2-id22524720
MUA BÁN SỈ NHÀ RIÊNG & Lô Đất Kế Bên-200m2-TP Thủ Đức-Nhỉnh 5T TL,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 900 triệu,5 PN,7 WC,132 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/mua-ban-si-nha-rieng-lo-dat-ke-ben-200m2-tp-thu-duc-nhinh-5t-tl-id22515285
MUA BÁN SỈ NHÀ RIÊNG & Lô Đất Kế Bên-200m2-TP Thủ Đức-Nhỉnh 5T TL,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 900 triệu,3 PN,0 WC,200 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/mua-ban-si-nha-rieng-lo-dat-ke-ben-200m2-tp-thu-duc-nhinh-5t-tl-id22515670
"Bán đất hẻm 620 ĐÀO SƯ TÍCH, Phước Lộc, Nhà Bè - 80m2","Huyện Nhà Bè, TPHCM",3 tỷ 100 triệu,3 PN,3 WC,200 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-dat-hem-620-dao-su-tich-phuoc-loc-nha-be-80m2-id22524284
MUA BÁN NHÀ Tây Hòa 70m2–Hẻm Ôtô-TP Thủ Đức-Phuớc Long A-Nhỉnh 4T TL,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 80 triệu,2 PN,2 WC,80 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/mua-ban-nha-tay-hoa-70m2hem-oto-tp-thu-duc-phuoc-long-a-nhinh-4t-tl-id22518733
"Bán nhà mặt tiền Huỳnh Tấn Phát, Phú Xuân,Nhà Bè - 39m2","Huyện Nhà Bè, TPHCM",4 tỷ 800 triệu,3 PN,2 WC,70 m2,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/ban-nha-mat-tien-huynh-tan-phat-phu-xuan-nha-be-39m2-id22524280
Bán nhà chính chủ gần 80m2 - hẻm xe tải - Dương Đình Hội - Phước Long,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 390 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-chinh-chu-gan-80m2-hem-xe-tai-duong-dinh-hoi-phuoc-long-id22478641
"Bán nhà hẻm 2020 Huỳnh tấn Phát, KP7, TT Nhà Bè - 48m2","Huyện Nhà Bè, TPHCM",2 tỷ 950 triệu,2 PN,1 WC,80 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-2020-huynh-tan-phat-kp7-tt-nha-be-48m2-id22524276
"Bán nhà Tân Bình 4.4m x 14m , 3 pn giá chào cần bán gấp 4.3 tỷ","Quận Tân Bình, TPHCM",4 tỷ 300 triệu,4 PN,4 WC,48 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-tan-binh-4-4m-x-14m-3-pn-gia-chao-can-ban-gap-4-3-ty-id22513051
Bán nhà ngang 7.5M - Đường nhựa ô tô -  TNPA-  Chủ 1 đời chưa mua bán,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ,3 PN,2 WC,58 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-ngang-7-5m-duong-nhua-o-to-tnpa-chu-1-doi-chua-mua-ban-id22475550
Bán nhà Lê Văn Sỹ 5.5m x 15.5m 4 tầng hẻm xe tải thông kinh doanh đỉnh,"Quận Tân Bình, TPHCM",21 tỷ,4 PN,3 WC,120 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-le-van-sy-5-5m-x-15-5m-4-tang-hem-xe-tai-thong-kinh-doanh-dinh-id22418887
📣📣70M2 - hẻm xe hơi - Trường thọ - TP thủ đức - nhỉnh 3T,"Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 500 triệu,7 PN,6 WC,90 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/70m2-hem-xe-hoi-truong-tho-tp-thu-duc-nhinh-3t-id22473515
"Bán nhà mặt tiền Lê Văn Lương, Phước Kiểng, Nhà Bè - 119m2","Huyện Nhà Bè, TPHCM",10 tỷ 900 triệu,3 PN,2 WC,70 m2,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/ban-nha-mat-tien-le-van-luong-phuoc-kieng-nha-be-119m2-id22524218
Bán nhà Lạc Long Quân Tân Bình hẻm xe hơi nhà mới 4 tầng đúc 4.7m x 11,"Quận Tân Bình, TPHCM",7 tỷ 700 triệu,4 PN,4 WC,119 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-lac-long-quan-tan-binh-hem-xe-hoi-nha-moi-4-tang-duc-4-7m-x-11-id22409310
B.án nhà 3 Tầng 63M2 Vừa ở vừa kd sát nguyễn xiển Q9 NHỈNH 3TY,"Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 500 triệu,4 PN,3 WC,55 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/b-an-nha-3-tang-63m2-vua-o-vua-kd-sat-nguyen-xien-q9-nhinh-3ty-id22452982
"Bán nhà hẻm 2581 Huỳnh Tấn Phát, KP4 - Phú Xuân Nhà Bè - 27m2","Huyện Nhà Bè, TPHCM",1 tỷ 300 triệu,3 PN,2 WC,63 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-2581-huynh-tan-phat-kp4-phu-xuan-nha-be-27m2-id22524213
Bán nhà Tân Bình 4 Tầng cho thuê 10tr/tháng Hẻm xe tải chỉ nhỉnh 3 tỷ,"Quận Tân Bình, TPHCM",3 tỷ 450 triệu,2 PN,2 WC,27 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-tan-binh-4-tang-cho-thue-10tr-thang-hem-xe-tai-chi-nhinh-3-ty-id22405925
Bán nhà mặt tiền 50m2-Đường 138- Đường xe tải tránh-Phường tân phú- 3T,"Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 500 triệu,2 PN,2 WC,25 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-mat-tien-50m2-duong-138-duong-xe-tai-tranh-phuong-tan-phu-3t-id22472055
Nguyễn Đình Chiểu - Quận 3 - Sát Mặt Tiền - 64m2 X 6 Tầng - 8pn - 8wc.,"Quận 3, TPHCM",17 tỷ 500 triệu,3 PN,2 WC,50 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/nguyen-dinh-chieu-quan-3-sat-mat-tien-64m2-x-6-tang-8pn-8wc-id22525462
"Bán nhà hẻm 76 Dương Cát Lợi, Thị Trấn Nhà Bè - 50m2","Huyện Nhà Bè, TPHCM",6 tỷ 600 triệu,8 PN,8 WC,64 m2,https://mogi.vn/huyen-nha-be/mua-nha-hem-ngo/ban-nha-hem-76-duong-cat-loi-thi-tran-nha-be-50m2-id22524209
Bán nhà Âu Cơ Tân Sơn Nhì 4 tầng 66m2 chỉ 6.x tỷ,"Quận Tân Phú, TPHCM",6 tỷ 900 triệu,4 PN,5 WC,50 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/ban-nha-au-co-tan-son-nhi-4-tang-66m2-chi-6-x-ty-id22399528
Bán nhà riêng 55m2 trung tâm thủ đức- Đường 6m vỉa hè- Đường nhựa đẹp,"Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 500 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-rieng-55m2-trung-tam-thu-duc-duong-6m-via-he-duong-nhua-dep-id22470890
