name,district,price,bedroom,wc,acreage,link,date
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691,2024-04-24
"Bán nhà Hẻm Ba Gác Thông Lê Quang Định P.7 Q.BT 33m2, 5PN, chỉ 5 tỷ","Quận Bình Thạnh, TPHCM",5 tỷ,4 PN,4 WC,63 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hem-ba-gac-thong-le-quang-dinh-p-7-q-bt-33m2-5pn-chi-5-ty-id22524911,2024-04-24
"Bán Nhà Mới Đẹp , HXH đỗ cửa Thống Nhất P.11 Gò Vấp 45m2, 3PN, 6 tỷ5","Quận Gò Vấp, TPHCM",6 tỷ 500 triệu,5 PN,6 WC,33 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-moi-dep-hxh-do-cua-thong-nhat-p-11-go-vap-45m2-3pn-6-ty5-id22539926,2024-04-24
Bán nhà mặt tiền đường Số 66 Thảo Điền 4x25m vuông vức được xây 4 tầng,"Quận 2 (TP. Thủ Đức), TPHCM",13 tỷ,3 PN,5 WC,45 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-so-66-thao-dien-4x25m-vuong-vuc-duoc-xay-4-tang-id22539325,2024-04-24
"Bán toà nhà VP Gold Star Lý Thường Kiệt. hầm 9 lầu Q.10, (2850m)","Quận 10, TPHCM",75 tỷ,8 PN,9 WC,120 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-vp-gold-star-ly-thuong-kiet-ham-9-lau-q-10-2850m-id22492767,2024-04-24
"Nhà Gần Vinhomes Q9, Nguyễn Xiển, 3 Tầng, Ô Tô Ngủ Trong Nhà, Hơn 4Tỷ","Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 350 triệu,20 PN,20 WC,300 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/nha-gan-vinhomes-q9-nguyen-xien-3-tang-o-to-ngu-trong-nha-hon-4ty-id22541900,2024-04-24
Chính Chủ ! Bán Toà Nhà Mặt Tiền đg Võ Văn Kiệt Q1 - diện tích 12x15 -,"Quận 1, TPHCM",85 tỷ,4 PN,4 WC,58 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/chinh-chu-ban-toa-nha-mat-tien-dg-vo-van-kiet-q1-dien-tich-12x15-id22492684,2024-04-24
"Bán nhà 55 Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1. DT: 4x20m","Quận 1, TPHCM",27 tỷ,20 PN,20 WC,320 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-55-le-thi-hong-gam-phuong-nguyen-thai-binh-quan-1-dt-4x20m-id22262539,2024-04-24
Hẻm 3G Sát Mặt Tiền Mã Lò Bình Tân 2 Tần 3m9m Không Lộ Giới Chỉ 2.2 Tỷ,"Quận Bình Tân, TPHCM",2 tỷ 200 triệu,6 PN,5 WC,82 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/hem-3g-sat-mat-tien-ma-lo-binh-tan-2-tan-3m9m-khong-lo-gioi-chi-2-2-ty-id22503406,2024-04-24
"Bán Nhà đường Mê Linh, P.19 Quận Bình Thạnh. 4x22m 4 Tầng, GIá 18.5 tỷ","Quận Bình Thạnh, TPHCM",18 tỷ 500 triệu,2 PN,2 WC,27 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-duong-me-linh-p-19-quan-binh-thanh-4x22m-4-tang-gia-18-5-ty-id22530657,2024-04-24
"Sở hữu 400 m2 đất vị trí đắc địa MT Sương Nguyệt Ánh, Quận 1","Quận 1, TPHCM",200 tỷ,4 PN,4 WC,90 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/so-huu-400-m2-dat-vi-tri-dac-dia-mt-suong-nguyet-anh-quan-1-id22386456,2024-04-24
Diện tích Khủng P10 Q11 (6.6 x 16m) 3 lầu. 9.9 tỷ.,"Quận 11, TPHCM",9 tỷ 900 triệu,5 PN,5 WC,393 m2,https://mogi.vn/quan-11/mua-nha-hem-ngo/dien-tich-khung-p10-q11-6-6-x-16m-3-lau-9-9-ty-id21434139,2024-04-24
"Khu VIP P17 - giáp Quận 1 - Nhà 4 Tầng - 64m2 (4m x 16m) - chỉ 8,09 tỷ","Quận Bình Thạnh, TPHCM",8 tỷ 90 triệu,10 PN,10 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/khu-vip-p17-giap-quan-1-nha-4-tang-64m2-4m-x-16m-chi-8-09-ty-id22502791,2024-04-24
Góc 2 Mặt Tiền Vip Q10 Hoà Hưng Dt 10 x 15m Hầm 6 Lầu Giá 42 Tỷ,"Quận 10, TPHCM",42 tỷ,7 PN,7 WC,64 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/goc-2-mat-tien-vip-q10-hoa-hung-dt-10-x-15m-ham-6-lau-gia-42-ty-id22501468,2024-04-24
Bán nhà nát 71m2 hẻm xe hơi đường kha vạn cân linh tây,"Quận Thủ Đức (TP. Thủ Đức), TPHCM",4 tỷ,6 PN,6 WC,139 m2,https://mogi.vn/quan-thu-duc/mua-nha-hem-ngo/ban-nha-nat-71m2-hem-xe-hoi-duong-kha-van-can-linh-tay-id22472837,2024-04-24
"Bán Nhà HXH Đường Lý Thường Kiệt, Q10, 4 tầng đang có HĐT 30tr/th","Quận 10, TPHCM",13 tỷ 500 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-nha-hxh-duong-ly-thuong-kiet-q10-4-tang-dang-co-hdt-30tr-th-id22502554,2024-04-24
"MT Kinh Doanh 430m2 Chỉ 28Tr trên M2, Nguyễn Văn Bứa, Hóc Môn","Huyện Hóc Môn, TPHCM",12 tỷ,5 PN,5 WC,77 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-mat-tien-pho/mt-kinh-doanh-430m2-chi-28tr-tren-m2-nguyen-van-bua-hoc-mon-id22302970,2024-04-24
"***bán nhà âu cơ, phường 14, tân bình; khu bàu cát; 4*18, 1 lầu, 5,79t","Quận Tân Bình, TPHCM",5 tỷ 790 triệu,3 PN,3 WC,430 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-au-co-phuong-14-tan-binh-khu-bau-cat-4-18-1-lau-5-79t-id22404410,2024-04-24
Bán nhà phường hiệp phú MT 5M DT 130m2 giá 8.2 tỷ,"Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ,2 PN,3 WC,73 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-phuong-hiep-phu-mt-5m-dt-130m2-gia-8-2-ty-id22476832,2024-04-24
Mặt tiền Bạch Đằng p2 Tân Bình 5x19 -9 tầng TN 100tr/th chỉ 35 tỷ,"Quận Tân Bình, TPHCM",35 tỷ,2 PN,0 WC,130 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/mat-tien-bach-dang-p2-tan-binh-5x19-9-tang-tn-100tr-th-chi-35-ty-id22516188,2024-04-24
"Bán nhà MT Lê Thánh Tôn P, Bến Thành Quận 1, dt: 8.2x22m giá 130 tỷ","Quận 1, TPHCM",130 tỷ,10 PN,10 WC,100 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-le-thanh-ton-p-ben-thanh-quan-1-dt-8-2x22m-gia-130-ty-id22414715,2024-04-24
"Bán cặp nhà Mtkd đường số 16a, dt: 8m x 16m, giá chỉ: 8,8 tỷ.","Quận Bình Tân, TPHCM",8 tỷ 800 triệu,3 PN,3 WC,178 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-cap-nha-mtkd-duong-so-16a-dt-8m-x-16m-gia-chi-8-8-ty-id22473713,2024-04-24
"Bán nhà 3 tầng MTKD Phố Ẩm Thực Cư Xá B - 4x31m NỞ HẬU 7,36m SÁT ĐS 10","Quận 6, TPHCM",17 tỷ 500 triệu,1 PN,1 WC,130 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/ban-nha-3-tang-mtkd-pho-am-thuc-cu-xa-b-4x31m-no-hau-7-36m-sat-ds-10-id22384257,2024-04-24
Bán nhà cực đẹp Hoàng Văn Thụ P4 Tân Bình 34m2 4 tầng nhỉnh 4 tỷ.,"Quận Tân Bình, TPHCM",4 tỷ 500 triệu,4 PN,3 WC,157 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-cuc-dep-hoang-van-thu-p4-tan-binh-34m2-4-tang-nhinh-4-ty-id22453817,2024-04-24
"Bán nhà hẻm thương mại 345 Trần Hưng Đạo Quận 1, giá 8,5 tỷ","Quận 1, TPHCM",8 tỷ 500 triệu,3 PN,3 WC,34 m2,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-hem-thuong-mai-345-tran-hung-dao-quan-1-gia-8-5-ty-id22459063,2024-04-24
